likes_pro,likes_anti,likes_neutral,likes_total,bias,topic,date
181393.0,102944.0,276810.0,561147.0,0.13980115727251505,Abortion,2020-09-18 00:00:00+00:00
206035.0,113925.0,308018.0,627978.0,0.14667711289248986,Abortion,2020-09-19 00:00:00+00:00
227944.0,171135.0,343728.0,742807.0,0.07647881616624506,Abortion,2020-09-20 00:00:00+00:00
237627.0,213858.0,364589.0,816074.0,0.02912603513897024,Abortion,2020-09-21 00:00:00+00:00
250908.0,227873.0,399465.0,878246.0,0.026228414362262965,Abortion,2020-09-22 00:00:00+00:00
153328.0,324862.0,396142.0,874332.0,-0.196188633150794,Abortion,2020-09-23 00:00:00+00:00
157760.0,384968.0,381284.0,924012.0,-0.24589291048168205,Abortion,2020-09-24 00:00:00+00:00
152433.0,376146.0,339930.0,868509.0,-0.2575828229759277,Abortion,2020-09-25 00:00:00+00:00
124196.0,390122.0,312904.0,827222.0,-0.3214687230271922,Abortion,2020-09-26 00:00:00+00:00
112123.0,351637.0,337368.0,801128.0,-0.2989709509591476,Abortion,2020-09-27 00:00:00+00:00
108457.0,338507.0,324343.0,771307.0,-0.2982599665243541,Abortion,2020-09-28 00:00:00+00:00
103966.0,338886.0,304532.0,747384.0,-0.31432302537918927,Abortion,2020-09-29 00:00:00+00:00
90855.0,230495.0,216657.0,538007.0,-0.25955052629426756,Abortion,2020-09-30 00:00:00+00:00
72039.0,165266.0,177464.0,414769.0,-0.2247684855907746,Abortion,2020-10-01 00:00:00+00:00
55344.0,157372.0,156132.0,368848.0,-0.27661258838329067,Abortion,2020-10-02 00:00:00+00:00
81476.0,264281.0,153290.0,499047.0,-0.3663081833975557,Abortion,2020-10-03 00:00:00+00:00
83255.0,267449.0,103552.0,454256.0,-0.4054850128561868,Abortion,2020-10-04 00:00:00+00:00
141139.0,914418.0,123294.0,1178851.0,-0.6559599135090015,Abortion,2020-10-05 00:00:00+00:00
150800.0,932833.0,109000.0,1192633.0,-0.6557197394336732,Abortion,2020-10-06 00:00:00+00:00
155384.0,954305.0,135884.0,1245573.0,-0.6414084120320527,Abortion,2020-10-07 00:00:00+00:00
160941.0,958941.0,139153.0,1259035.0,-0.6338187580170528,Abortion,2020-10-08 00:00:00+00:00
187175.0,972969.0,201215.0,1361359.0,-0.5772129173862295,Abortion,2020-10-09 00:00:00+00:00
174218.0,896075.0,255959.0,1326252.0,-0.5442834393463686,Abortion,2020-10-10 00:00:00+00:00
176046.0,890273.0,296540.0,1362859.0,-0.524065218779052,Abortion,2020-10-11 00:00:00+00:00
115861.0,232939.0,327746.0,676546.0,-0.17305253449137234,Abortion,2020-10-12 00:00:00+00:00
111759.0,222390.0,383140.0,717289.0,-0.1542349039229655,Abortion,2020-10-13 00:00:00+00:00
111347.0,197099.0,377951.0,686397.0,-0.12493061595548932,Abortion,2020-10-14 00:00:00+00:00
109839.0,198550.0,385414.0,693803.0,-0.12786194351999056,Abortion,2020-10-15 00:00:00+00:00
87056.0,195202.0,343919.0,626177.0,-0.1727083556246876,Abortion,2020-10-16 00:00:00+00:00
69433.0,155835.0,297808.0,523076.0,-0.16518058561279814,Abortion,2020-10-17 00:00:00+00:00
63432.0,147025.0,277457.0,487914.0,-0.17132732407760384,Abortion,2020-10-18 00:00:00+00:00
91929.0,182997.0,322744.0,597670.0,-0.15237171014104772,Abortion,2020-10-19 00:00:00+00:00
87984.0,170505.0,329834.0,588323.0,-0.1402647865203298,Abortion,2020-10-20 00:00:00+00:00
92475.0,179988.0,325330.0,597793.0,-0.14639348403209806,Abortion,2020-10-21 00:00:00+00:00
96309.0,197481.0,402349.0,696139.0,-0.14533304411906242,Abortion,2020-10-22 00:00:00+00:00
119824.0,231428.0,441352.0,792604.0,-0.14080675848216764,Abortion,2020-10-23 00:00:00+00:00
159101.0,367183.0,497096.0,1023380.0,-0.20332818698821553,Abortion,2020-10-24 00:00:00+00:00
155212.0,366296.0,495249.0,1016757.0,-0.2076051603283774,Abortion,2020-10-25 00:00:00+00:00
127673.0,328354.0,388809.0,844836.0,-0.23753840982155117,Abortion,2020-10-26 00:00:00+00:00
125394.0,435143.0,327419.0,887956.0,-0.3488337259954322,Abortion,2020-10-27 00:00:00+00:00
111931.0,424748.0,317737.0,854416.0,-0.36611790977697045,Abortion,2020-10-28 00:00:00+00:00
101484.0,392194.0,222154.0,715832.0,-0.40611484258876385,Abortion,2020-10-29 00:00:00+00:00
68358.0,335203.0,155891.0,559452.0,-0.4769756833472755,Abortion,2020-10-30 00:00:00+00:00
23273.0,170467.0,80236.0,273976.0,-0.5372514380821678,Abortion,2020-10-31 00:00:00+00:00
17235.0,152830.0,42812.0,212877.0,-0.6369640684526745,Abortion,2020-11-01 00:00:00+00:00
11063.0,123748.0,27810.0,162621.0,-0.6929301873681751,Abortion,2020-11-02 00:00:00+00:00
12.0,2537.0,10427.0,12976.0,-0.19459001233045622,Abortion,2020-11-03 00:00:00+00:00
464196.0,467246.0,68055.0,999497.0,-0.003051534922065799,Democratic concerns,2020-06-01 00:00:00+00:00
502710.0,547844.0,79037.0,1129591.0,-0.039956054890663964,Democratic concerns,2020-06-02 00:00:00+00:00
551295.0,587233.0,86945.0,1225473.0,-0.029325819499899222,Democratic concerns,2020-06-03 00:00:00+00:00
615982.0,648897.0,99349.0,1364228.0,-0.024127198679399633,Democratic concerns,2020-06-04 00:00:00+00:00
591797.0,640077.0,96529.0,1328403.0,-0.036344392477282876,Democratic concerns,2020-06-05 00:00:00+00:00
543087.0,567428.0,90949.0,1201464.0,-0.020259450137498917,Democratic concerns,2020-06-06 00:00:00+00:00
443159.0,518663.0,89628.0,1051450.0,-0.07180940605830044,Democratic concerns,2020-06-07 00:00:00+00:00
332256.0,359518.0,88366.0,780140.0,-0.03494500987002333,Democratic concerns,2020-06-08 00:00:00+00:00
342511.0,314757.0,91254.0,748522.0,0.03707840250520359,Democratic concerns,2020-06-09 00:00:00+00:00
343357.0,322311.0,90617.0,756285.0,0.027828133573983352,Democratic concerns,2020-06-10 00:00:00+00:00
302473.0,271248.0,83662.0,657383.0,0.04749894658060826,Democratic concerns,2020-06-11 00:00:00+00:00
262482.0,213991.0,78615.0,555088.0,0.08735731992044504,Democratic concerns,2020-06-12 00:00:00+00:00
247967.0,203635.0,69377.0,520979.0,0.08509364101048218,Democratic concerns,2020-06-13 00:00:00+00:00
259331.0,202226.0,70466.0,532023.0,0.10733558511568109,Democratic concerns,2020-06-14 00:00:00+00:00
258437.0,202305.0,59767.0,520509.0,0.10784059449500392,Democratic concerns,2020-06-15 00:00:00+00:00
235319.0,192670.0,59119.0,487108.0,0.0875555318327763,Democratic concerns,2020-06-16 00:00:00+00:00
206124.0,171384.0,64838.0,442346.0,0.0785358068118622,Democratic concerns,2020-06-17 00:00:00+00:00
226507.0,222988.0,74474.0,523969.0,0.006716046178304441,Democratic concerns,2020-06-18 00:00:00+00:00
237747.0,270397.0,72334.0,580478.0,-0.05624674836944725,Democratic concerns,2020-06-19 00:00:00+00:00
