pair_key,pair_label,left_layer,right_layer,left_topic,right_topic,topic_a,topic_b,rho,p,lag,n,selected_from,is_significant,from_side,to_side,from_label,to_label,from_layer,to_layer,from_topic,to_topic
left_mid,Left–Mid,Kamala Harris,Public Reaction,Abortion,Democratic concerns,Abortion,Democratic concerns,0.4514964393376271,2.6274735680922312e-05,-4,80,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Abortion,Democratic concerns
left_mid,Left–Mid,Kamala Harris,Public Reaction,Abortion,Economy,Abortion,Economy,-0.19245513435648917,0.0872090169896988,-4,80,fallback_all_lags,False,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Abortion,Economy
left_mid,Left–Mid,Kamala Harris,Public Reaction,Abortion,Abortion,Abortion,Abortion,-0.35368041685662904,0.0012894274986326208,-4,80,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Abortion,Abortion
left_mid,Left–Mid,Kamala Harris,Public Reaction,Abortion,National security and foreign policy,Abortion,National security and foreign policy,-0.3675823174846553,0.0035649735330536606,11,61,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,National security and foreign policy,Abortion
left_mid,Left–Mid,Kamala Harris,Public Reaction,Abortion,Healthcare,Abortion,Healthcare,0.2588328905820253,0.05637533237868763,14,55,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Healthcare,Abortion
left_mid,Left–Mid,Kamala Harris,Public Reaction,Abortion,Guns control,Abortion,Guns control,-0.7202299943092095,1.356089214816252e-11,9,65,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Guns control,Abortion
left_mid,Left–Mid,Kamala Harris,Public Reaction,National security and foreign policy,Immigration,National security and foreign policy,Immigration,0.16020948935707532,0.2426370985007138,14,55,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Immigration,National security and foreign policy
left_mid,Left–Mid,Kamala Harris,Public Reaction,National security and foreign policy,Wokeness,National security and foreign policy,Wokeness,-0.19082874718326415,0.1628409487696218,14,55,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Wokeness,National security and foreign policy
left_mid,Left–Mid,Kamala Harris,Public Reaction,National security and foreign policy,Democratic concerns,National security and foreign policy,Democratic concerns,0.5312520377981743,1.577052493536586e-06,-12,72,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,National security and foreign policy,Democratic concerns
left_mid,Left–Mid,Kamala Harris,Public Reaction,National security and foreign policy,Economy,National security and foreign policy,Economy,0.11311153172226655,0.3178004348337728,-4,80,fallback_all_lags,False,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,National security and foreign policy,Economy
